slug,url,title,description,image
"blog","https://mikenelsonguitarlessons.co.nz/blog","Guitar Blog | Mike Nelson Guitar Lessons","Explore guitar lessons, theory, and practice tips. Learn chords, scales, technique, and more.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"barre-chord-library","https://mikenelsonguitarlessons.co.nz/blog/barre-chord-library","Barre Chord Library: Complete Guide","Master barre chords with comprehensive library. Interactive diagrams for E and A shape barre chords, major, minor, seventh chords.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"bb-king-box-different-keys","https://mikenelsonguitarlessons.co.nz/blog/bb-king-box-different-keys","BB King Box in Different Keys: Complete Blues Guitar Guide","Master the iconic BB King box pattern in keys A, C, D, E, and G with interactive fretboard diagrams and tabs. Learn the classic blues licks and positions.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"beginner-guide-recording-guitar-free-software","https://mikenelsonguitarlessons.co.nz/blog/beginner-guide-recording-guitar-free-software","Beginner Guide to Recording Guitar: Complete Free Software Setup (2025)","Learn how to record guitar using completely free software. Step-by-step guide to Reaper DAW and essential free VST plugins for guitar recording.","https://mikenelsonguitarlessons.co.nz/REAPER_logo.png"
"beginners-guide-guitar-scales","https://mikenelsonguitarlessons.co.nz/blog/beginners-guide-guitar-scales","Beginner’s Guide to Guitar Scales – Start with One String","Learn guitar scales the easy way - start by understanding scales along one string before moving to complex fretboard patterns.","https://mikenelsonguitarlessons.co.nz/beginners-guide-scales-thumbnail.svg"
"beginners-guide-notes-guitar","https://mikenelsonguitarlessons.co.nz/blog/beginners-guide-notes-guitar","Beginner’s Guide to Guitar Notes","Learn guitar notes on the fretboard with interactive diagrams. Understand sharps, flats, and how notes repeat across the guitar neck.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"beginners-guide-pentatonic-scales","https://mikenelsonguitarlessons.co.nz/blog/beginners-guide-pentatonic-scales","Beginner’s Guide to Pentatonic Scales","Learn pentatonic scales with my step-by-step guide. Master the 5 essential pentatonic patterns with interactive diagrams and practice tips for guitar.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"blues-licks-exercises","https://mikenelsonguitarlessons.co.nz/blog/blues-licks-exercises","Blues Licks Exercises","Master b3 - 3 - 1 and b3 - 3 - b7 licks, and apply major/minor pentatonic and other scales to a 12-bar blues progression with interactive tabs.","https://mikenelsonguitarlessons.co.nz/mike-nelson-guitar-logo.jpg"
"caged-system-guitar-guide","https://mikenelsonguitarlessons.co.nz/blog/caged-system-guitar-guide","The CAGED System: Guitar Fretboard Guide","Master the CAGED system with comprehensive guide. Learn how to navigate the guitar fretboard using the 5 essential chord shapes.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"chord-transitions-common-fingers","https://mikenelsonguitarlessons.co.nz/blog/chord-transitions-common-fingers","Smoother Chord Changes Guide","Learn how to identify common fingers between chords for smoother transitions. Master chord changes with essential fingering tips and visual diagrams.","https://mikenelsonguitarlessons.co.nz/mike-nelson-guitar-logo.jpg"
"circle-of-fifths","https://mikenelsonguitarlessons.co.nz/blog/circle-of-fifths","The Circle of Fifths: A Complete Guide","Master the circle of fifths with complete guide. Learn key signatures, chord progressions, and how to use this essential music theory tool.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"complete-beginners-guide-guitar","https://mikenelsonguitarlessons.co.nz/blog/complete-beginners-guide-guitar","Complete Beginner\","Everything you need to know to start learning guitar in New Zealand. What to buy, what you\","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"complete-guide-guitar-string-bending","https://mikenelsonguitarlessons.co.nz/blog/complete-guide-guitar-string-bending","The Complete Guide to Guitar String Bending","Master guitar string bending with this comprehensive guide. Learn proper technique, build finger strength, develop pitch accuracy, and add emotion to your playing with interactive exercises and tab players.","https://mikenelsonguitarlessons.co.nz/guitar-bending-guide-thumbnail.webp"
"easiest-beginner-guitar-riffs","https://mikenelsonguitarlessons.co.nz/blog/easiest-beginner-guitar-riffs","10 Easiest Beginner Guitar Riffs","Master 10 iconic beginner guitar riffs from Deep Purple, Black Sabbath, AC/DC, Nirvana & more. Step-by-step tutorials with interactive tabs for new guitarists.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
"electric-guitar-beginner-guide-nz","https://mikenelsonguitarlessons.co.nz/blog/electric-guitar-beginner-guide-nz","Beginner Electric Guitar Guide - New Zealand 2025","Complete guide to buying your first electric guitar in New Zealand. Top recommendations, amp choices, pricing, and where to buy.","https://mikenelsonguitarlessons.co.nz/yamaha-pac112j.webp"
"essential-practice-tips","https://mikenelsonguitarlessons.co.nz/blog/essential-practice-tips","6 Essential Practice Tips for Guitar Students","Master fundamental practice techniques to accelerate your guitar learning. Expert advice from a Wellington guitar teacher.","https://mikenelsonguitarlessons.co.nz/blog-thumbnail.svg"
"free-vst-plugins-reaper-organic-production","https://mikenelsonguitarlessons.co.nz/blog/free-vst-plugins-reaper-organic-production","Beginner Guide to Recording Guitar: Complete Free Software Setup (2025)","Learn how to record guitar using completely free software. Step-by-step guide to Reaper DAW and essential free VST plugins for guitar recording.","https://mikenelsonguitarlessons.co.nz/REAPER_logo.png"
"guitar-arpeggios-exercises","https://mikenelsonguitarlessons.co.nz/blog/guitar-arpeggios-exercises","Guitar Arpeggio Exercises","Master arpeggios across the fretboard with focused exercises for major, minor, dominant, and diminished chords. Practice with interactive tabs.","https://mikenelsonguitarlessons.co.nz/social/facebook-cover-universal.png"
